Rank;Account;VOMOVREC;VOXOR;VOROOM;VOGAME;VOLAND;VOMARIO;Sum
1;natsukagami;6.0;7.0;5.38;6.0;4.90;7.0;36.28
2;duyboy135;6.0;7.0;7.0;6.0;5.18;4.20;35.38
3;su123;6.0;7.0;7.0;6.0;1.96;7.0;34.96
4;duymanhit;6.0;7.0;7.0;6.0;4.90;2.10;33.0
5;pqhuy98;0.0;7.0;4.75;6.0;7.0;4.20;28.95
6;garbage123;3.0;7.0;7.0;6.0;5.60;0.0;28.60
7;abcdef6199;3.90;7.0;7.0;6.0;0.28;4.20;28.38
8;duyduc;6.0;7.0;1.75;6.0;3.36;4.20;28.31
9;tru3goon3r;6.0;7.0;7.0;6.0;0.28;0.0;26.28
10;haituan134;6.0;7.0;1.12;6.0;0.0;4.20;24.32
11;coicoichip;6.0;4.43;4.62;2.70;2.24;2.10;22.10
12;reach_up;6.0;2.92;4.13;2.40;3.36;2.10;20.90
13;ladpro98;0.0;0.0;0.0;6.0;7.0;7.0;20.0
14;tungluu18;6.0;1.75;4.13;6.0;0.0;2.10;19.98
15;minh141198;4.80;7.0;6.87;0.0;0.0;0.0;18.67
16;nhatanhst;4.50;1.75;4.13;6.0;2.24;0.0;18.62
17;bosslhpnd;3.60;4.43;4.13;4.20;0.0;2.10;18.46
18;tanphatls987;6.0;0.0;7.0;2.40;2.80;0.0;18.20
19;redstar;0.0;7.0;0.0;4.20;0.0;7.0;18.20
20;tungtp;6.0;2.22;7.0;0.60;0.0;2.10;17.92
21;phuognguyen;4.80;1.05;2.25;6.0;1.68;2.10;17.88
22;phhoang98a;1.80;1.75;0.0;6.0;6.16;2.10;17.81
23;trongcao_vodoi;3.90;1.98;2.13;4.20;5.18;0.0;17.39
24;tqthang;4.20;2.22;0.75;6.0;1.54;2.10;16.81
25;qcuong98;3.0;0.0;2.25;6.0;5.18;0.0;16.43
26;bluehya;4.80;0.0;5.63;6.0;0.0;0.0;16.43
27;ngocjr7;1.80;1.75;1.88;6.0;2.80;2.10;16.33
28;thanh_luong;0.0;1.75;4.87;2.70;4.90;2.10;16.32
29;green_dragon;2.10;2.80;4.25;2.40;2.24;2.10;15.89
